created_at,tree_id,block_id,the_geom,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,Title,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,Latitude,Longitude,x_sp,y_sp
11/15/15,"457,839","219,149",POINT (-73.9693896984637 40.687848702623),16,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,None,None,NoDamage,TreesCount Staff,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes,191 LAFAYETTE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.6878487,-73.9693897,"992,739.20","189,879.75"
11/15/15,"457,838","219,149",POINT (-73.96927421360118 40.687862148030945),14,0,OnCurb,Alive,Good,Tilia americana,American linden,None,Helpful,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,201 LAFAYETTE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68786215,-73.96927421,"992,771.22","189,884.66"
11/15/15,"457,837","219,149",POINT (-73.96917512479477 40.687873685925844),11,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,1or2,Helpful,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,201 LAFAYETTE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68787369,-73.96917512,"992,798.70","189,888.87"
11/15/15,"457,836","219,149",POINT (-73.96901401727308 40.68789244447982),13,0,OnCurb,Alive,Fair,Tilia americana,American linden,1or2,Helpful,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,201 LAFAYETTE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68789244,-73.96901402,"992,843.38","189,895.72"
8/12/15,"141,163","219,130",POINT (-73.96990044409722 40.68792420762805),31,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,338 CLERMONT AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK68,Fort Greene,3018100,New York,40.68792421,-73.96990044,"992,597.54","189,907.21"
8/12/15,"141,007","219,158",POINT (-73.9685751358766 40.687944042859534),26,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,211 LAFAYETTE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68794404,-73.96857514,"992,965.09","189,914.56"
8/12/15,"141,008","219,158",POINT (-73.96835618566628 40.68796902434051),25,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,217 LAFAYETTE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68796902,-73.96835619,"993,025.81","189,923.69"
8/12/15,"141,009","219,158",POINT (-73.96822852437978 40.68798358919085),34,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,219 LAFAYETTE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68798359,-73.96822852,"993,061.21","189,929.00"
9/28/15,"267,842","219,148",POINT (-73.96974456863299 40.687993488281485),20,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,None,NoDamage,Volunteer,"Stones,RootOther,WiresRope,BranchOther",Yes,No,Yes,Yes,No,No,No,No,Yes,317 CLERMONT AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68799349,-73.96974457,"992,640.76","189,932.46"
8/12/15,"141,010","219,158",POINT (-73.96808517199977 40.687999944272356),17,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,219 LAFAYETTE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68799994,-73.96808517,"993,100.96","189,934.98"
8/12/15,"140,752","219,146",POINT (-73.9689027665697 40.688034517303564),10,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,3or4,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,201 LAFAYETTE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68803452,-73.96890277,"992,874.21","189,947.49"
8/12/15,"141,162","219,130",POINT (-73.9699261797758 40.68805393602882),27,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,330 CLERMONT AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK68,Fort Greene,3018100,New York,40.68805394,-73.96992618,"992,590.39","189,954.47"
8/12/15,"140,814","219,166",POINT (-73.96756760905356 40.688060555415205),14,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,325 CLINTON AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68806056,-73.96756761,"993,244.49","189,957.11"
8/12/15,"140,815","219,166",POINT (-73.96747116790328 40.68807069679298),13,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,325 CLINTON AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.6880707,-73.96747117,"993,271.24","189,960.82"
8/12/15,"141,107","219,161",POINT (-73.96788433710047 40.68807335949453),33,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,340 CLINTON AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68807336,-73.96788434,"993,156.65","189,961.75"
8/12/15,"140,816","219,166",POINT (-73.96735686833775 40.6880827168998),18,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,231 LAFAYETTE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68808272,-73.96735687,"993,302.93","189,965.21"
8/12/15,"140,817","219,166",POINT (-73.96724971208815 40.68809398519642),12,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,231 LAFAYETTE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68809399,-73.96724971,"993,332.65","189,969.32"
8/12/15,"140,818","219,166",POINT (-73.96712826790088 40.68810675497137),15,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,231 LAFAYETTE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68810675,-73.96712827,"993,366.33","189,973.99"
8/12/15,"141,161","219,130",POINT (-73.96993834772013 40.68811527318232),22,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,328 CLERMONT AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK68,Fort Greene,3018100,New York,40.68811527,-73.96993835,"992,587.01","189,976.81"
8/12/15,"140,819","219,166",POINT (-73.96701753989267 40.688118399346635),15,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,324 WAVERLY AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.6881184,-73.96701754,"993,397.03","189,978.24"
8/12/15,"140,949","219,159",POINT (-73.96875018041652 40.68812509284144),17,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,341 VANDERBILT AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68812509,-73.96875018,"992,916.52","189,980.51"
9/13/15,"221,658","219,167",POINT (-73.96774108451366 40.68815184870615),9,0,OnCurb,Alive,Fair,Ginkgo biloba,ginkgo,1or2,None,NoDamage,Volunteer,"Stones,RootOther,TrunkOther,BranchOther",Yes,No,Yes,No,No,Yes,No,No,Yes,325 CLINTON AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68815185,-73.96774108,"993,196.37","189,990.36"
8/12/15,"141,108","219,161",POINT (-73.96790033051778 40.68815368705953),13,0,OnCurb,Alive,Good,Quercus rubra,northern red oak,None,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,338 CLINTON AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68815369,-73.96790033,"993,152.20","189,991.01"
9/28/15,"267,806","219,177",POINT (-73.96666841258282 40.688165228113235),16,0,OnCurb,Alive,Good,Quercus rubra,northern red oak,1or2,None,Damage,Volunteer,TrunkOther,No,No,No,No,No,Yes,No,No,No,238 LAFAYETTE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68816523,-73.96666841,"993,493.85","189,995.34"
9/28/15,"267,841","219,148",POINT (-73.96974622187437 40.68817732134233),6,0,OffsetFromCurb,Alive,Good,Picea abies,Norway spruce,1or2,Unsure,NoDamage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,317 CLERMONT AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68817732,-73.96974622,"992,640.28","189,999.44"
9/28/15,"267,804","219,177",POINT (-73.9665172227206 40.68818251640556),21,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,1or2,None,NoDamage,Volunteer,"RootOther,TrunkOther,BranchOther",No,No,Yes,No,No,Yes,No,No,Yes,244 LAFAYETTE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68818252,-73.96651722,"993,535.78","190,001.66"
9/28/15,"267,807","219,177",POINT (-73.96671807316595 40.68818591737593),23,0,OffsetFromCurb,Alive,Good,Quercus rubra,northern red oak,1or2,None,NoDamage,Volunteer,"Stones,RootOther,TrunkOther,BranchOther",Yes,No,Yes,No,No,Yes,No,No,Yes,238 LAFAYETTE AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68818592,-73.96671807,"993,480.08","190,002.87"
8/12/15,"140,753","219,146",POINT (-73.96893428538479 40.68819189505265),13,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,3or4,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,300 VANDERBILT AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.6881919,-73.96893429,"992,865.45","190,004.83"
